,sid,gcm,decadal_group,direction_class,speed_range,count,frequency
20,PADK,CCSM4,1,4,10-14,763,0.29
21,PADK,CCSM4,1,4,14-18,606,0.23
22,PADK,CCSM4,1,4,18-22,368,0.14
23,PADK,CCSM4,1,4,22+,514,0.2
24,PADK,CCSM4,1,5,0-6,683,0.26
25,PADK,CCSM4,1,5,6-10,847,0.32
26,PADK,CCSM4,1,5,10-14,782,0.3
27,PADK,CCSM4,1,5,14-18,647,0.25
28,PADK,CCSM4,1,5,18-22,482,0.18
29,PADK,CCSM4,1,5,22+,737,0.28
30,PADK,CCSM4,1,6,0-6,632,0.24
31,PADK,CCSM4,1,6,6-10,861,0.33
32,PADK,CCSM4,1,6,10-14,765,0.29
33,PADK,CCSM4,1,6,14-18,641,0.24
34,PADK,CCSM4,1,6,18-22,407,0.15
35,PADK,CCSM4,1,6,22+,758,0.29
36,PADK,CCSM4,1,7,0-6,638,0.24
37,PADK,CCSM4,1,7,6-10,780,0.3
38,PADK,CCSM4,1,7,10-14,694,0.26
39,PADK,CCSM4,1,7,14-18,521,0.2
40,PADK,CCSM4,1,7,18-22,458,0.17
41,PADK,CCSM4,1,7,22+,775,0.29
42,PADK,CCSM4,1,8,0-6,703,0.27
43,PADK,CCSM4,1,8,6-10,770,0.29
44,PADK,CCSM4,1,8,10-14,757,0.29
45,PADK,CCSM4,1,8,14-18,578,0.22
46,PADK,CCSM4,1,8,18-22,474,0.18
47,PADK,CCSM4,1,8,22+,778,0.3
48,PADK,CCSM4,1,9,0-6,690,0.26
49,PADK,CCSM4,1,9,6-10,788,0.3
50,PADK,CCSM4,1,9,10-14,737,0.28
51,PADK,CCSM4,1,9,14-18,611,0.23
52,PADK,CCSM4,1,9,18-22,542,0.21
53,PADK,CCSM4,1,9,22+,961,0.37
54,PADK,CCSM4,1,10,0-6,651,0.25
55,PADK,CCSM4,1,10,6-10,755,0.29
56,PADK,CCSM4,1,10,10-14,813,0.31
57,PADK,CCSM4,1,10,14-18,626,0.24
58,PADK,CCSM4,1,10,18-22,642,0.24
59,PADK,CCSM4,1,10,22+,955,0.36
60,PADK,CCSM4,1,11,0-6,660,0.25
61,PADK,CCSM4,1,11,6-10,768,0.29
62,PADK,CCSM4,1,11,10-14,918,0.35
63,PADK,CCSM4,1,11,14-18,629,0.24
64,PADK,CCSM4,1,11,18-22,567,0.22
65,PADK,CCSM4,1,11,22+,962,0.37
66,PADK,CCSM4,1,12,0-6,627,0.24
67,PADK,CCSM4,1,12,6-10,791,0.3
68,PADK,CCSM4,1,12,10-14,843,0.32
69,PADK,CCSM4,1,12,14-18,677,0.26
70,PADK,CCSM4,1,12,18-22,592,0.23
71,PADK,CCSM4,1,12,22+,1012,0.39
72,PADK,CCSM4,1,13,0-6,683,0.26
73,PADK,CCSM4,1,13,6-10,747,0.28
74,PADK,CCSM4,1,13,10-14,820,0.31
75,PADK,CCSM4,1,13,14-18,572,0.22
76,PADK,CCSM4,1,13,18-22,548,0.21
77,PADK,CCSM4,1,13,22+,1156,0.44
78,PADK,CCSM4,1,14,0-6,761,0.29
79,PADK,CCSM4,1,14,6-10,843,0.32
80,PADK,CCSM4,1,14,10-14,940,0.36
