,sid,month,total,calm,percent
190,PAHO,11,24105,3382,14.000000000000002
191,PAHO,12,24981,3745,15.0
192,PAKT,1,23832,3318,13.900000000000002
193,PAKT,2,22094,3199,14.499999999999998
194,PAKT,3,24036,3263,13.600000000000001
195,PAKT,4,23705,2810,11.899999999999999
196,PAKT,5,24442,2606,10.7
197,PAKT,6,23607,2305,9.8
198,PAKT,7,24462,2689,11.0
199,PAKT,8,24304,2998,12.3
200,PAKT,9,23628,3189,13.5
201,PAKT,10,24197,3507,14.499999999999998
202,PAKT,11,23073,3200,13.900000000000002
203,PAKT,12,23899,3589,15.0
204,PAPH,1,22288,588,2.6
205,PAPH,2,19552,480,2.5
206,PAPH,3,22257,494,2.1999999999999997
207,PAPH,4,21904,584,2.7
208,PAPH,5,22346,527,2.4
209,PAPH,6,21919,627,2.9000000000000004
210,PAPH,7,22306,894,4.0
211,PAPH,8,22333,765,3.4000000000000004
212,PAPH,9,22031,539,2.4
213,PAPH,10,22477,493,2.1999999999999997
214,PAPH,11,21688,471,2.1999999999999997
215,PAPH,12,22165,558,2.5
216,PAAQ,1,17639,6409,36.3
217,PAAQ,2,16082,4725,29.4
218,PAAQ,3,17504,3637,20.8
219,PAAQ,4,17296,2504,14.499999999999998
220,PAAQ,5,17769,2718,15.299999999999999
221,PAAQ,6,16977,3246,19.1
222,PAAQ,7,17772,4038,22.7
223,PAAQ,8,17889,4076,22.8
224,PAAQ,9,17633,3673,20.8
225,PAAQ,10,18304,5505,30.099999999999998
226,PAAQ,11,17443,6501,37.3
227,PAAQ,12,17822,5987,33.6
228,PABI,1,23811,3401,14.299999999999999
229,PABI,2,21743,2667,12.3
230,PABI,3,24348,2602,10.7
231,PABI,4,23505,2287,9.700000000000001
232,PABI,5,24025,2133,8.9
233,PABI,6,23099,1924,8.3
234,PABI,7,24261,2037,8.4
235,PABI,8,24299,2544,10.5
236,PABI,9,23681,2504,10.6
237,PABI,10,24383,3172,13.0
238,PABI,11,23546,3108,13.200000000000001
239,PABI,12,23957,3072,12.8
240,PACZ,1,17344,1807,10.4
241,PACZ,2,15596,1528,9.8
242,PACZ,3,16857,1425,8.5
243,PACZ,4,17468,1304,7.5
244,PACZ,5,17732,1426,8.0
245,PACZ,6,17061,1496,8.799999999999999
246,PACZ,7,17183,1559,9.1
247,PACZ,8,17347,1424,8.200000000000001
248,PACZ,9,16730,930,5.6000000000000005
249,PACZ,10,18288,1156,6.3
250,PACZ,11,16860,1523,9.0
251,PACZ,12,16732,1522,9.1
252,PALU,1,16345,1848,11.3
253,PALU,2,14532,1554,10.7
254,PALU,3,16684,2024,12.1
255,PALU,4,17548,2007,11.4
256,PALU,5,18666,1856,9.9
257,PALU,6,16930,2550,15.1
258,PALU,7,17143,2365,13.8
259,PALU,8,17523,1375,7.8
260,PALU,9,16591,1015,6.1
261,PALU,10,17943,1133,6.3
262,PALU,11,17237,1234,7.199999999999999
263,PALU,12,16519,1710,10.4
264,PASD,1,15476,1678,10.8
265,PASD,2,14220,1367,9.6
266,PASD,3,15803,1262,8.0
267,PASD,4,15185,1299,8.6
268,PASD,5,16414,1641,10.0
269,PASD,6,16679,2043,12.2
270,PASD,7,16815,2539,15.1
271,PASD,8,16371,2183,13.3
272,PASD,9,14903,1329,8.9
273,PASD,10,16034,1219,7.6
274,PASD,11,15565,1186,7.6
275,PASD,12,15485,1470,9.5
276,PFYU,1,20898,9583,45.9
277,PFYU,2,19419,7740,39.900000000000006
