,sid,year,month,speed
488,PAFB,1985,9,5.9
489,PAFB,1985,10,3.2
490,PAFB,1985,11,1.9
491,PAFB,1985,12,1.6
492,PAFB,1986,1,2.0
493,PAFB,1986,2,2.4
494,PAFB,1986,3,3.6
495,PAFB,1986,4,4.9
496,PAFB,1986,5,6.1
497,PAFB,1986,6,6.1
498,PAFB,1986,7,6.3
499,PAFB,1986,8,6.0
500,PAFB,1986,9,4.9
501,PAFB,1986,10,3.0
502,PAFB,1986,11,0.8
503,PAFB,1986,12,2.3
504,PAFB,1987,1,2.4
505,PAFB,1987,2,2.2
506,PAFB,1987,3,3.0
507,PAFB,1987,4,5.5
508,PAFB,1987,5,5.4
509,PAFB,1987,6,6.8
510,PAFB,1987,7,5.5
511,PAFB,1987,8,5.3
512,PAFB,1987,9,3.6
513,PAFB,1987,10,3.5
514,PAFB,1987,11,1.1
515,PAFB,1987,12,1.4
516,PAFB,1988,1,1.4
517,PAFB,1988,2,3.7
518,PAFB,1988,3,5.2
519,PAFB,1988,4,6.4
520,PAFB,1988,5,5.5
521,PAFB,1988,6,4.6
522,PAFB,1988,7,5.2
523,PAFB,1988,8,5.7
524,PAFB,1988,9,4.1
525,PAFB,1988,10,4.1
526,PAFB,1988,11,2.2
527,PAFB,1988,12,1.9
528,PAFB,1989,1,2.8
529,PAFB,1989,2,1.6
530,PAFB,1989,3,2.8
531,PAFB,1989,4,2.3
532,PAFB,1989,5,5.0
533,PAFB,1989,6,5.6
534,PAFB,1989,7,4.8
535,PAFB,1989,8,4.2
536,PAFB,1989,9,4.6
537,PAFB,1989,10,4.8
538,PAFB,1989,11,2.2
539,PAFB,1989,12,2.4
540,PAFB,1990,1,0.9
541,PAFB,1990,2,1.9
542,PAFB,1990,3,3.0
543,PAFB,1990,4,4.7
544,PAFB,1990,5,4.1
545,PAFB,1990,6,5.7
546,PAFB,1990,7,3.8
547,PAFB,1990,8,4.7
548,PAFB,1990,9,5.8
549,PAFB,1990,10,3.8
550,PAFB,1990,11,2.0
551,PAFB,1990,12,2.2
552,PAFB,1991,1,2.6
553,PAFB,1991,2,2.6
554,PAFB,1991,3,3.8
555,PAFB,1991,4,2.7
556,PAFB,1991,5,4.7
557,PAFB,1991,6,3.6
558,PAFB,1991,7,3.7
559,PAFB,1991,8,5.0
560,PAFB,1991,9,3.5
561,PAFB,1991,10,2.8
562,PAFB,1991,11,2.9
563,PAFB,1991,12,3.7
564,PAFB,1992,1,1.2
565,PAFB,1992,2,1.0
566,PAFB,1992,3,2.3
567,PAFB,1992,4,4.8
568,PAFB,1992,5,6.8
569,PAFB,1992,6,5.2
570,PAFB,1992,7,3.9
571,PAFB,1992,8,5.5
572,PAFB,1992,9,5.3
573,PAFB,1992,10,2.7
574,PAFB,1992,11,2.9
575,PAFB,1992,12,1.6
576,PAFB,1993,1,2.6
577,PAFB,1993,2,1.3
578,PAFB,1993,3,2.2
579,PAFB,1993,4,3.7
580,PAFB,1993,5,6.0
581,PAFB,1993,6,3.4
582,PAFB,1993,7,5.2
583,PAFB,1993,8,5.0
584,PAFB,1993,9,5.8
585,PAFB,1993,10,1.2
586,PAFB,1993,11,2.5
587,PAFB,1993,12,1.0
588,PAFB,1994,1,1.6
589,PAFB,1994,2,1.9
590,PAFB,1994,3,3.0
591,PAFB,1994,4,3.7
592,PAFB,1994,5,4.9
593,PAFB,1994,6,5.4
594,PAFB,1994,7,4.3
595,PAFB,1994,8,3.8
596,PAFB,1994,9,2.6
597,PAFB,1994,10,2.3
598,PAFB,1994,11,4.3
599,PAFB,1994,12,1.0
600,PAFB,1995,1,0.4
601,PAFB,1995,2,1.0
602,PAFB,1995,3,2.6
603,PAFB,1995,4,3.1
604,PAFB,1995,5,4.4
605,PAFB,1995,6,3.8
606,PAFB,1995,7,4.7
607,PAFB,1995,8,3.9
608,PAFB,1995,9,3.2
609,PAFB,1995,10,2.0
610,PAFB,1995,11,1.2
611,PAFB,1995,12,2.7
612,PAFB,1996,1,0.7
613,PAFB,1996,2,1.5
614,PAFB,1996,3,3.4
615,PAFB,1996,4,4.8
616,PAFB,1996,5,4.7
617,PAFB,1996,6,4.3
618,PAFB,1996,7,3.6
619,PAFB,1996,8,5.4
620,PAFB,1996,9,5.6
621,PAFB,1996,10,2.1
622,PAFB,1996,11,1.2
623,PAFB,1996,12,1.6
624,PAFB,1997,1,1.1
625,PAFB,1997,2,2.6
626,PAFB,1997,3,3.5
627,PAFB,1997,4,4.6
628,PAFB,1997,5,5.9
629,PAFB,1997,6,6.2
630,PAFB,1997,7,4.1
631,PAFB,1997,8,4.5
632,PAFB,1997,9,3.4
633,PAFB,1997,10,2.8
634,PAFB,1997,11,1.8
635,PAFB,1997,12,2.1
636,PAFB,1998,1,1.3
637,PAFB,1998,2,2.0
638,PAFB,1998,3,4.3
639,PAFB,1998,4,5.4
640,PAFB,1998,5,5.4
641,PAFB,1998,6,5.6
642,PAFB,1998,7,4.6
643,PAFB,1998,8,4.1
644,PAFB,1998,9,3.8
645,PAFB,1998,10,3.2
646,PAFB,1998,11,1.0
647,PAFB,1998,12,2.3
648,PAFB,1999,1,1.1
649,PAFB,1999,2,0.8
650,PAFB,1999,3,3.1
651,PAFB,1999,4,6.4
652,PAFB,1999,5,6.2
653,PAFB,1999,6,4.3
654,PAFB,1999,7,5.4
655,PAFB,1999,8,2.8
656,PAFB,1999,9,4.9
657,PAFB,1999,10,3.8
658,PAFB,1999,11,3.3
659,PAFB,2000,3,5.2
660,PAFB,2000,4,7.1
661,PAFB,2000,5,7.6
662,PAFB,2000,6,5.0
663,PAFB,2000,7,4.8
664,PAFB,2000,8,6.2
665,PAFB,2000,9,4.0
666,PAFB,2000,10,1.9
667,PAFB,2000,11,2.7
668,PAFB,2000,12,2.4
669,PAFB,2001,1,3.7
670,PAFB,2001,2,3.6
671,PAFB,2001,3,4.1
672,PAFB,2001,4,6.1
673,PAFB,2001,5,7.0
674,PAFB,2001,6,6.5
675,PAFB,2001,7,5.8
676,PAFB,2001,8,4.7
677,PAFB,2001,9,2.7
678,PAFB,2001,10,3.5
679,PAFB,2001,11,0.4
